date,wind_speed,density
1,3.85,1.25
2,3.9,1.25
3,3.95,1.25
4,4,1.25
5,5,1.25
6,6,1.25
7,7.5,1.25
8,10,1.25
9,12.5,1.25
10,20,1.25
11,26,1.25
12,21,1.25
13,21,1.25
14,5,1.25
15,5,1.25
16,2.5,1.25
17,0,1.25
18,0,1.25
19,5,1.25
20,10,1.25
21,20,1.25
22,25,1.25
23,26,1.25
24,25,1.25
25,20,1.25
26,21,1.25
27,20,1.25
28,21,1.25
29,25,1.25
30,24,1.25
31,23,1.25
32,26,1.25
33,21,1.25
34,20,1.25
35,15,1.25
36,10,1.25
37,0,1.25
38,20,1.25
39,1,1.25
40,20,1.25
41,5,1.25
42,0,1.25
43,20,1.25
44,5,1.25
45,0,1.25
46,20,1.25
47,15,1.25
48,5,1.25
49,0,1.25
50,20,1.25
51,15,1.25
52,5,1.25
53,0,1.25
54,20,1.25
55,15,1.25
56,5,1.25
57,0,1.25
58,20,1.25
59,15,1.25
60,5,1.25
61,0,1.25
62,20,1.25
63,15,1.25
64,5,1.25
65,0,1.25
66,20,1.25
67,15,1.25
68,5,1.25
69,0,1.25
70,20,1.25
71,15,1.25
72,5,1.25
73,0,1.25
74,20,1.25
75,15,1.25
76,5,1.25
77,0,1.25
78,20,1.25
79,15,1.25
80,5,1.25
81,0,1.25
82,20,1.25
83,15,1.25
84,5,1.25
85,0,1.25
86,20,1.25
87,15,1.25
88,5,1.25
89,0,1.25
90,20,1.25
91,15,1.25
92,5,1.25
93,0,1.25
94,20,1.25
95,15,1.25
96,5,1.25
97,0,1.25
98,20,1.25
99,15,1.25
100,5,1.25
101,0,1.25
102,20,1.25
103,15,1.25
104,5,1.25
105,0,1.25
106,20,1.25
107,15,1.25
108,5,1.25
109,0,1.25
110,20,1.25
111,15,1.25
112,5,1.25
113,0,1.25
114,20,1.25
115,15,1.25
116,5,1.25
117,0,1.25
118,20,1.25
119,15,1.25
120,5,1.25
121,0,1.25
122,20,1.25
123,15,1.25
124,5,1.25
125,0,1.25
126,20,1.25
127,15,1.25
128,5,1.25
129,0,1.25
130,20,1.25
131,15,1.25
132,5,1.25
133,0,1.25
134,20,1.25
135,15,1.25
136,5,1.25
137,0,1.25
138,20,1.25
139,15,1.25
140,5,1.25
141,0,1.25
142,20,1.25
143,15,1.25
144,5,1.25
145,0,1.25
146,20,1.25
147,15,1.25
148,5,1.25
149,0,1.25
150,20,1.25
151,15,1.25
152,5,1.25
153,0,1.25
154,20,1.25
155,15,1.25
156,5,1.25
157,0,1.25
158,20,1.25
159,15,1.25
160,5,1.25
161,0,1.25
162,20,1.25
163,15,1.25
164,5,1.25
165,0,1.25
166,20,1.25
167,15,1.25
168,5,1.25
169,0,1.25
170,20,1.25
171,15,1.25
172,5,1.25
173,0,1.25
174,20,1.25
175,15,1.25
176,5,1.25
177,0,1.25
178,20,1.25
179,15,1.25
180,5,1.25
181,0,1.25
182,20,1.25
183,15,1.25
184,5,1.25
185,0,1.25
186,20,1.25
187,15,1.25
188,5,1.25
189,0,1.25
190,20,1.25
191,15,1.25
192,5,1.25
193,0,1.25
194,20,1.25
195,15,1.25
196,5,1.25
197,0,1.25
198,20,1.25
199,15,1.25
200,5,1.25
201,0,1.25
202,20,1.25
203,15,1.25
204,5,1.25
205,0,1.25
206,20,1.25
207,15,1.25
208,5,1.25
209,0,1.25
210,20,1.25
211,15,1.25
212,5,1.25
213,0,1.25
214,20,1.25
215,15,1.25
216,5,1.25
217,0,1.25
218,20,1.25
219,15,1.25
220,5,1.25
221,0,1.25
222,20,1.25
223,15,1.25
224,5,1.25
225,0,1.25
226,20,1.25
227,15,1.25
228,5,1.25
229,0,1.25
230,20,1.25
231,15,1.25
232,5,1.25
233,0,1.25
234,20,1.25
235,15,1.25
236,5,1.25
237,0,1.25
238,20,1.25
239,15,1.25
240,5,1.25
